commodity,month_num,avg_price
Rice (Aromatic),10,7574.416667
Rice (Aromatic),11,7573.986667
Rice (Aromatic),12,7854.278889
"Rice (Imported, Pakistan)",2,4850
"Rice (Imported, Pakistan)",3,5080
"Rice (Imported, Pakistan)",4,4718.4
"Rice (Imported, Pakistan)",6,5909.666667
Salt,1,10.47771825
Salt,2,10.6484246
Salt,3,10.82071875
Salt,4,10.62166667
Salt,5,11.4497037
Salt,6,10.87345455
Salt,7,11.7326633
Salt,8,10.59861111
Salt,9,10.78944444
Salt,10,10.52435185
Salt,11,10.65319444
Salt,12,10.39875
Sorghum,1,2480.52845
Sorghum,2,2695.373313
Sorghum,3,2676.693636
Sorghum,4,2815.46798
Sorghum,5,2877.485078
Sorghum,6,2925.732964
Sorghum,7,3000.416927
Sorghum,8,3082.797443
Sorghum,9,3161.820479
Sorghum,10,2957.526742
Sorghum,11,2956.360451
Sorghum,12,2852.473088
Sorghum (Red),1,5068.25
Sorghum (Red),2,4193.2
Sorghum (Red),3,5344
Sorghum (Red),4,4866.428571
Sorghum (Red),5,4017.4
Sorghum (Red),6,4627.8
Sorghum (Red),7,4375.8
Sorghum (Red),9,4785
Sorghum (Red),10,5353.5
Sorghum (Red),11,4667.34375
Sorghum (White),1,6134.465
Sorghum (White),2,5587.05
Sorghum (White),3,5300.223214
Sorghum (White),4,5200.333333
Sorghum (White),5,5788.5
Sorghum (White),6,6181.05
Sorghum (White),7,6332.694444
Sorghum (White),8,5598
Sorghum (White),9,6731.25
Sorghum (White),10,6480
Sorghum (White),11,5615
Sorghum (White),12,6269.166667
Spinach,1,21.33333333
Spinach,3,26.2
Spinach,5,26.125
Spinach,6,37.16666667
Spinach,7,34
Spinach,8,33.25
Sugar,1,141.5921236
Sugar,2,145.3146581
Sugar,3,149.7015657
Sugar,4,137.7221296
Sugar,5,160.1167839
Sugar,6,154.1360714
Sugar,7,153.6082222
Sugar,8,116.0423333
Sugar,9,123.75
Sugar,10,143.82125
Sugar,11,149.3660272
Sugar,12,155.3025487
Tomatoes,1,3781.732571
Tomatoes,2,4696.033982
Tomatoes,3,4042.455893
Tomatoes,4,3827.907833
Tomatoes,5,4068.344345
Tomatoes,6,4135.767857
Tomatoes,7,3949.776944
Tomatoes,8,3341.108214
Tomatoes,9,3307.605313
Tomatoes,10,3625.947063
Tomatoes,11,3129.937857
Tomatoes,12,4061.064167
Wheat Flour,1,88.50997619
Wheat Flour,2,92.52572619
Wheat Flour,3,93.94922059
Wheat Flour,4,93.624375
Wheat Flour,5,94.09297436
Wheat Flour,6,91.42063492
Wheat Flour,7,91.22105628
Wheat Flour,8,82.7582381
Wheat Flour,9,78.47600694
Wheat Flour,10,90.00986111
Wheat Flour,11,100.5483333
Wheat Flour,12,94.45036797
